SOURCE	TARGET
أنا	انا
بعطيك	باعطيك
رقم	رقم
تلفونو	تلفونه
و عنوانو.	وعنوانه.

فيك	فيك
تغيرلي	تغير لي
مقعدي؟	مقعدي؟

إسمك	اسمك
مرة	مرة
تاني؟	ثاني؟

في	في
محل	محل
شامل	شامل
قريب	قريب
من	من
هون؟	هون؟

هالباص	هالباص
بيروح	بيروح
عأوتيل	عاوتيل
الشيراتون؟	الشيراتون؟

لشو	لشو
بيصير	بيصير
هيدا؟	هيدا؟

في	في
شوية	شوية
شوب.	شوب.
فيي	فيي
إفتح	افتح
الشباك؟	الشباك؟

عينيي	عينيي
مدممين.	مدممين.

ما	ما
فيي	فيي
أضمن	اضمن
هيدا،	هيدا،
بس	بس
رح	رح
نعمل	نعمل
جهدنا.	جهدنا.

أمتين	امتين
بيبلش	بيبلش
ماتش	ماتش
الباسكيت؟	الباسكيت؟

أي	اي
نوع	نوع
من	من
الحجر	الحجر
هيدا؟	هيدا؟

عن	عن
اذنك،	اذنك،
إستاذ.	استاذ.
حابب	حابب
زور	زور
بعض	بعض
معالم	معالم
المدينة	المدينة
ببوستن.	ببوستن.

أنا	انا
مهتم	مهتم
بشنطة	بشنطة
الإيد	الايد
الزرقة	الزرقة
بالشباك.	بالشباك.

بدك	بدك
تاخدو	تاخذه
معك	معك
أو	او
منبعتلك	منبعث لك
ياه؟	اياه؟

أمتين	امتين
بيصير	بيصير
في	في
طاولة	طاولة
متوفرة؟	متوفرة؟

بدي	بدي
مقعد	مقعد
حد	حد
الشباك،	الشباك،
عمول	اعمول
معروف.	معروف.

بدي	بدي
أسجل	اسجل
هالشنطة.	هالشنطة.

صعبة	صعبة
ينقال	ينقال
الوداع.	الوداع.

فيا	فيها
تكون	تكون
بالمكنة	بالمكنة
أ	او
بتتغسل	بتتغسل
بالإيد	بالايد
بالبيت؟	بالبيت؟

بدي	بدي
صندوق	صندوق
ماي	ماي
ملونة،	ملونة،
عمول	اعمول
معروف.	معروف.

بهالحالة،	بهالحالة،
بنصح	بانصح
بهيدا.	بهيدا.

فيك	فيك
تخلي	تخلي
غراضي	اغراضي
الغالية؟	الغالية؟

من	من
النظر	النظر
إلو،	اله،
مبين	مبين
إنك	انك
لقطت	لقطت
نوع	نوع
من	من
الإلتهاب.	الالتهاب.

فيي	فيي
أحصل	احصل
على	على
مقعدين	مقعدين
بالطابق	بالطابق
التاني	الثاني
لهالليلة؟	لهالليلة؟

أي	اي
ساعة	ساعة
مكتب	مكتب
البريد	البريد
بيفتح؟	بيفتح؟

شكر ا.	شكرا.
هيدا	هيدا
مفتاح	مفتاح
أوضتك .	اوضتك.
العتال	العتال
رح	رح
ياخدلك	ياخذ لك
شنطاتك.	شنطاتك.

خلي	خلي
شنطاتي،	شنطاتي،
عمول	اعمول
معروف.	معروف.

ما	ما
بفتكر	بافتكر
إنو	انه
فيي	فيي
كون	كون
إلك	الك
عون.	عون.

فيك	فيك
تسألو	تسأله
ليوقف	ليوقف
تدخين،	تدخين،
هونيك؟	هونيك؟

بتمنى	باتمنى
أعمل	اعمل
أعمال	اعمال
خيرية .	خيرية.

استعدت	استعدت
صحتي	صحتي
كلي ا.	كليا.

فيك	فيك
تعطيني	تعطيني
شوية	شوية
ماي،	ماي،
عمول	اعمول
معروف؟	معروف؟
أنا	انا
كتير	كثير
عطشان.	عطشان.

رح	رح
أخد	آخذ
وجبتين	وجبتين
من	من
نودلز	نودلز
موريسوبا.	موريسوبا.

جرحت	جرحت
حالي	حالي
بقزازة	بقزازة
هون.	هون.

لازم	لازم
كنت	كنت
سألت	سألت
المدرب،	المدرب،
بس	بس
فيك	فيك
تقلي	تقل
أي	لي اي
مكنة	مكنة
منيحة	منيحة
لتمرين	لتمرين
الضهر؟	الظهر؟

عامل	عامل
المكالمات.	المكالمات.

بفتكر	بافتكر
إنو	انه
نحنا	نحنا
بالمحطة	بالمحطة
الغلط.	الغلط.

بتتذكر	بتتذكر
رقم	رقم
السيارة؟	السيارة؟

بيرة،	بيرة،
ستيك	ستيك
مع	مع
بطاطا	بطاطا
مقلية،	مقلية،
و سلطة	وسلطة
الشيف	الشيف
المميزة.	المميزة.

رح	رح
دق	دق
مرة	مرة
تاني.	ثاني.

بتعرف	بتعرف
إذا	اذا
هالمطعم	هالمطعم
بيتطلب	بيتطلب
حجز؟	حجز؟

في	فيه
محل	محل
حلاقة	حلاقة
بالأوتيل؟	بالاوتيل؟

عندي	عندي
شي	شي
إسألك	اسألك
ياه .	اياه.

عمول	اعمول
معروف	معروف
دفي	دفي
الأوضة	الاوضة
أكتر .	اكثر.

ما	ما
فيي	فيي
قلك	قول
.	لك.

وين	وين
منصة	منصة
رقم	رقم
خمسة؟	خمسة؟

بدي	بدي
مرشد	مرشد
بيحكي	بيحكي
الياباني.	الياباني.

خلصت	خلصت
من	من
عشاك؟	عشاك؟

نوعية	نوعية
هيدا	هيدا
أحسن .	احسن.

بشارط	باشارط
بتنين	باثنين
جنيه.	جنيه.

عندك	عندك
جولة	جولة
بتتضمن	بتتضمن
زيارة	زيارة
لجسر	لجسر
الغولدن	الغولدن
غايت؟	غيت؟

هيدي	هيدي
الرحلة	الرحلة
سبعة	سبعة
و تلات	وثلاث
دقايق	دقايق
لطوكيو	لطوكيو
بأربعة	باربعة
أيلول،	ايلول،
الجمعة.	الجمعة.

عمنبش	عم نبش
عمعجون.	عمعجون.

شو	شو
بخصوص	بخصوص
بكرا؟	بكرة؟

في	في
صحتك.	صحتك.

عندك	عندك
بالنتاين	بالنتاين
عمرا	عمرها
عشر	عشر
سنين؟	سنين؟

يمكن	يمكن
نكون	نكون
قادرين،	قادرين،
بس	بس
للأسف	للاسف
رح	رح
تاخد	تاخذ
كم	كم
شهر .	شهر.

بدي	بدي
شي	شي
بأسلوب	باسلوب
شانيل	شانيل
المتكرر .	المتكرر.

بدي	بدي
سجل	سجل
بجولة	بجولة
شلالات	شلالات
نياغارا .	نياغرا.

بفتكر .	بافتكر.

اوه	اوه
لاء .	لاء.
عمبيقلي	عم بيقول
شي	لي
.	شي.
شو	شو
لازم	لازم
أعمل؟	اعمل؟

أي	اي
باص	باص
بيروح	بيروح
عصالة	عصالة
غيلد؟	غيلد؟

هوي	هو
عالرف	عالرف
التاني	الثاني
بالصف	بالصف
الوسطاني .	الوسطاني.

بحاجة	بحاجة
إنو	انه
إرجع	ارجع
عاليابان	عاليابان
هلأ؟	هلق؟

كان	كان
في	فيه
عليقة	عليقة
مفاتيح	مفاتيح
عشكل	عشكل
بسينة	بسينة
معلقة	معلقة
بشريط	بشريط
هون.	هون.

بالظبط	بالظبط
تمنتعشردولار	ثمانتعشر
.	دولار.

هيدا	هيدا
بيت	بيت
بيجنن .	بيجنن.

وحدة	واحدة
كوكا	كوكا
زغيرة،	صغيرة،
عمول	اعمول
معروف .	معروف.

أدي	قديه
بيكلف	بيكلف
تأمينو	تأمينه
بتلاتميت	بثلاثمية
دولار؟	دولار؟

فيك	فيك
تقلي	تقل لي
عمول	اعمول
معروف	معروف
هالسعر	هالسعر
لشو؟	لشو؟

شو	شو
اللعبة	اللعبة
اللي	اللي
عمتنلعب	عم تنلعب
عالملعب؟	عالملعب؟

عالسبعة	عالسبعة
الصبح،	الصبح،
التوقيت	التوقيت
المحلي .	المحلي.

الصندوق	الصندوق
طولو	طوله
خمسة	خمسة
و ستين	وستين
سنتمتر،	سنتيمتر،
عرضو	عرضه
تلاتين	ثلاثين
سنتمتر،	سنتيمتر،
و تمنتاعشر	وثمانتعشر
سنتمتر	سنتيمتر
إرتفاعو.	ارتفاعه.

الساعة	الساعة
عشرة .	عشرة.
